policyID	statecode	county	point_latitude	point_longitude	line	construction	point_granularity
219025	FL	COLUMBIA COUNTY	3016269	-8264	Residential	Wood	4
447216	FL	COLUMBIA COUNTY	3016269	-8264	Residential	Wood	4
305141	FL	COLUMBIA COUNTY	3016269	-8264	Residential	Wood	4
625575	FL	COLUMBIA COUNTY	3016269	-8264	Residential	Wood	4
262109	FL	COLUMBIA COUNTY	30163641	-82640976	Residential	Wood	1
228457	FL	COLUMBIA COUNTY	30163641	-82640976	Residential	Masonry	1
622799	FL	COLUMBIA COUNTY	30163641	-82640976	Residential	Wood	1
233271	FL	COLUMBIA COUNTY	30163641	-82640976	Commercial	Reinforced Masonry	1
932950	FL	COLUMBIA COUNTY	30163641	-82640976	Residential	Wood	1
641952	FL	COLUMBIA COUNTY	301515	-826126	Commercial	Reinforced Masonry	4
796260	FL	COLUMBIA COUNTY	301515	-826126	Residential	Masonry	4
301822	FL	COLUMBIA COUNTY	301515	-826126	Commercial	Reinforced Masonry	4
559927	FL	COLUMBIA COUNTY	301515	-826126	Residential	Wood	4
224400	FL	COLUMBIA COUNTY	301515	-826126	Residential	Masonry	4
123936	FL	COLUMBIA COUNTY	301515	-826126	Commercial	Reinforced Masonry	4
333818	FL	COLUMBIA COUNTY	301515	-826126	Residential	Masonry	4
254323	FL	COLUMBIA COUNTY	301515	-826126	Residential	Masonry	4
247444	FL	COLUMBIA COUNTY	301515	-826126	Residential	Wood	4
882598	FL	COLUMBIA COUNTY	301515	-826126	Residential	Masonry	4
386918	FL	COLUMBIA COUNTY	301515	-826126	Residential	Wood	4
497337	FL	COLUMBIA COUNTY	301515	-826126	Residential	Wood	4
526844	FL	COLUMBIA COUNTY	301515	-826126	Commercial	Reinforced Masonry	4
623400	FL	COLUMBIA COUNTY	301515	-826126	Residential	Wood	4
826170	FL	COLUMBIA COUNTY	30185885	-82614795	Residential	Wood	1
185483	FL	COLUMBIA COUNTY	30185885	-82614795	Residential	Wood	1
920003	FL	COLUMBIA COUNTY	30185885	-82614795	Residential	Masonry	1
274246	FL	COLUMBIA COUNTY	3016649	-8263503	Residential	Wood	1
423636	FL	COLUMBIA COUNTY	30176	-8265581	Residential	Masonry	1
970906	FL	COLUMBIA COUNTY	3000777	-8259694	Commercial	Reinforced Masonry	3
227898	FL	COLUMBIA COUNTY	3017509	-8266252	Residential	Wood	1
525138	FL	COLUMBIA COUNTY	3017501	-8266205	Residential	Wood	1
923627	FL	COLUMBIA COUNTY	30174776	-82662277	Residential	Wood	1
619743	FL	COLUMBIA COUNTY	3017476	-8266251	Residential	Wood	1
910727	FL	COLUMBIA COUNTY	301745	-8266205	Residential	Wood	1
363647	FL	COLUMBIA COUNTY	3017447	-8266251	Residential	Wood	1
512519	FL	COLUMBIA COUNTY	3017417	-8266218	Residential	Wood	1
904304	FL	COLUMBIA COUNTY	3017451	-8266351	Residential	Wood	1
835349	FL	COLUMBIA COUNTY	3017475	-8266314	Residential	Wood	1
891725	FL	COLUMBIA COUNTY	3017514	-8266341	Residential	Wood	1
923503	FL	COLUMBIA COUNTY	3017474	-8266348	Residential	Wood	1
292347	FL	COLUMBIA COUNTY	3017664	-8266314	Residential	Wood	3
363828	FL	COLUMBIA COUNTY	3017638	-8266314	Residential	Wood	3
110490	FL	COLUMBIA COUNTY	3017623	-8266406	Residential	Wood	3
480733	FL	COLUMBIA COUNTY	3017698	-8267019	Residential	Masonry	4
993346	FL	COLUMBIA COUNTY	30174486	-82671326	Residential	Masonry	4
934992	FL	ST  JOHNS COUNTY	297917	-814271	Residential	Wood	4
645841	FL	ST  JOHNS COUNTY	297917	-814271	Residential	Masonry	4
747846	FL	ST  JOHNS COUNTY	297917	-814271	Residential	Wood	4
482457	FL	ST  JOHNS COUNTY	29776566	-8147171	Residential	Wood	1
574787	FL	ST  JOHNS COUNTY	29776566	-8147171	Residential	Wood	1
831418	FL	ST  JOHNS COUNTY	29776566	-8147171	Residential	Wood	1
968562	FL	ST  JOHNS COUNTY	29776566	-8147171	Residential	Wood	1
576324	FL	ST  JOHNS COUNTY	297255	-81466309	Residential	Wood	1
290435	FL	ST  JOHNS COUNTY	297255	-81466309	Residential	Wood	1
526086	FL	ST  JOHNS COUNTY	297255	-81466309	Residential	Wood	1
119823	FL	ST  JOHNS COUNTY	297255	-81466309	Residential	Wood	1
497414	FL	ST  JOHNS COUNTY	297255	-81466309	Residential	Wood	1
340883	FL	ST  JOHNS COUNTY	297255	-81466309	Residential	Wood	1
892551	FL	ST  JOHNS COUNTY	297255	-81466309	Residential	Wood	1
670595	FL	ST  JOHNS COUNTY	297255	-81466309	Residential	Wood	1
194101	FL	ST  JOHNS COUNTY	297255	-81466309	Residential	Wood	1
167200	FL	ST  JOHNS COUNTY	297255	-81466309	Residential	Wood	1
139064	FL	ST  JOHNS COUNTY	297255	-81466309	Residential	Wood	1
846636	FL	ST  JOHNS COUNTY	297255	-81466309	Residential	Wood	1
310177	FL	NASSAU COUNTY	3057332	-8145291	Residential	Wood	1
865452	FL	NASSAU COUNTY	3067464	-8146114	Residential	Wood	3
783429	FL	NASSAU COUNTY	3067464	-8146114	Residential	Wood	3
878060	FL	NASSAU COUNTY	3067423	-8146052	Residential	Wood	1
935342	FL	NASSAU COUNTY	3067423	-8146052	Residential	Wood	1
456376	FL	NASSAU COUNTY	3067423	-8146052	Residential	Wood	1
363001	FL	NASSAU COUNTY	3067453	-8146016	Residential	Wood	1
478864	FL	NASSAU COUNTY	3067513	-8144708	Residential	Masonry	1
600402	FL	NASSAU COUNTY	3064687	-8145801	Commercial	Reinforced Masonry	1
483983	FL	NASSAU COUNTY	30650143	-81454407	Residential	Masonry	1
991615	FL	NASSAU COUNTY	306202	-814719	Residential	Wood	4
644573	FL	NASSAU COUNTY	30576765	-81453979	Residential	Masonry	1
853278	FL	NASSAU COUNTY	30576765	-81453979	Residential	Wood	1
100658	FL	NASSAU COUNTY	306202	-814719	Residential	Wood	4
433115	FL	NASSAU COUNTY	30576765	-81453979	Residential	Wood	1
760337	FL	NASSAU COUNTY	3061988	-8146815	Residential	Wood	1
884738	FL	NASSAU COUNTY	30576765	-81453979	Residential	Masonry	1
610102	FL	NASSAU COUNTY	30671095	-81462097	Commercial	Reinforced Masonry	1
830823	FL	NASSAU COUNTY	3067	-81462	Residential	Masonry	3
618364	FL	NASSAU COUNTY	30596535	-81546837	Residential	Wood	1
712563	FL	NASSAU COUNTY	30596535	-81546837	Residential	Wood	1
493030	FL	NASSAU COUNTY	3057326	-8145367	Residential	Masonry	1
188150	FL	NASSAU COUNTY	3065372	-8145105	Commercial	Reinforced Masonry	1
589642	FL	NASSAU COUNTY	3063945	-81455553	Residential	Masonry	1
846109	FL	NASSAU COUNTY	30570326	-81451576	Residential	Wood	3
399079	FL	NASSAU COUNTY	305708	-8144959	Residential	Wood	1
680135	FL	NASSAU COUNTY	305708	-8144959	Residential	Wood	1
621379	FL	NASSAU COUNTY	30571087	-81448578	Residential	Wood	1
606710	FL	NASSAU COUNTY	30570854	-81448212	Residential	Wood	1
443319	FL	NASSAU COUNTY	30571154	-81448433	Residential	Wood	1
228591	FL	NASSAU COUNTY	305708	-8144959	Residential	Wood	1
721610	FL	NASSAU COUNTY	30571323	-81450188	Residential	Wood	1
507395	FL	NASSAU COUNTY	30570711	-81448067	Residential	Wood	1
213399	FL	NASSAU COUNTY	30571777	-81449326	Residential	Wood	1
579400	FL	NASSAU COUNTY	305716	-8145134	Residential	Wood	1
509951	FL	NASSAU COUNTY	3057098	-8144838	Residential	Wood	1
930798	FL	NASSAU COUNTY	30571613	-81450577	Residential	Wood	1
729247	FL	NASSAU COUNTY	305708	-8144959	Residential	Wood	1
288344	FL	NASSAU COUNTY	305708	-8144959	Residential	Wood	1
275351	FL	NASSAU COUNTY	3057164	-81450279	Residential	Wood	1
976690	FL	NASSAU COUNTY	30571306	-8145015	Residential	Wood	1
507111	FL	NASSAU COUNTY	30571608	-81450661	Residential	Wood	1
547458	FL	NASSAU COUNTY	30571609	-81450615	Residential	Wood	1
827732	FL	NASSAU COUNTY	30571665	-81450089	Residential	Wood	1
229489	FL	NASSAU COUNTY	30571615	-81450531	Residential	Wood	1
175251	FL	NASSAU COUNTY	30571812	-81448822	Residential	Wood	1
590043	FL	NASSAU COUNTY	30571596	-81450874	Residential	Wood	1
476037	FL	NASSAU COUNTY	305708	-8144959	Residential	Wood	1
674960	FL	NASSAU COUNTY	3057086	-81448174	Residential	Wood	1
743790	FL	NASSAU COUNTY	30570326	-81451576	Commercial	Reinforced Masonry	3
817283	FL	NASSAU COUNTY	30570221	-81451309	Commercial	Reinforced Concrete	1
201980	FL	NASSAU COUNTY	3064448	-8145489	Residential	Wood	1
351505	FL	NASSAU COUNTY	30653568	-81449318	Residential	Wood	1
798806	FL	NASSAU COUNTY	3065118	-8144969	Residential	Masonry	1
153643	FL	NASSAU COUNTY	3065118	-8144969	Residential	Wood	1
683653	FL	NASSAU COUNTY	3065118	-8144969	Residential	Wood	1
475264	FL	NASSAU COUNTY	30639568	-81442482	Commercial	Reinforced Concrete	1
912944	FL	NASSAU COUNTY	3059491	-81539909	Residential	Masonry	4
945134	FL	NASSAU COUNTY	3059491	-81539909	Residential	Wood	4
219959	FL	NASSAU COUNTY	3059491	-81539909	Residential	Wood	4
793504	FL	NASSAU COUNTY	306119	-81455986	Residential	Wood	3
450423	FL	NASSAU COUNTY	30596535	-81546837	Residential	Wood	1
505178	FL	NASSAU COUNTY	30596535	-81546837	Residential	Wood	1
408688	FL	NASSAU COUNTY	3066665	-8145235	Residential	Masonry	1
477759	FL	NASSAU COUNTY	30657654	-81463341	Residential	Wood	1
882441	FL	NASSAU COUNTY	3065838	-8146358	Residential	Wood	1
727602	FL	NASSAU COUNTY	30617165	-81461609	Residential	Wood	1
313226	FL	NASSAU COUNTY	30617874	-81457794	Residential	Wood	1
337027	FL	NASSAU COUNTY	30663744	-81453941	Residential	Wood	4
649251	FL	NASSAU COUNTY	3067024	-81454628	Residential	Wood	3
142564	FL	NASSAU COUNTY	3061945	-81465965	Residential	Wood	1
197782	FL	NASSAU COUNTY	30610081	-81446259	Residential	Masonry	1
709787	FL	NASSAU COUNTY	30610081	-81446259	Residential	Wood	1
655065	FL	NASSAU COUNTY	3067044	-8146572	Residential	Wood	3
176778	FL	NASSAU COUNTY	30671413	-81464905	Commercial	Reinforced Masonry	1
559179	FL	NASSAU COUNTY	3065501	-8145117	Residential	Masonry	1
698071	FL	NASSAU COUNTY	30665545	-8143205	Residential	Wood	3
642950	FL	NASSAU COUNTY	3063862	-8143702	Residential	Masonry	4
477240	FL	NASSAU COUNTY	3066665	-8145235	Residential	Wood	1
672348	FL	NASSAU COUNTY	3063833	-8144564	Residential	Wood	1
922844	FL	NASSAU COUNTY	30617874	-81457794	Residential	Wood	1
948580	FL	NASSAU COUNTY	3067069	-81458395	Residential	Wood	3
364552	FL	NASSAU COUNTY	3065838	-8146358	Residential	Wood	1
561601	FL	NASSAU COUNTY	30671312	-8146492	Residential	Masonry	1
584749	FL	NASSAU COUNTY	30626793	-81485847	Residential	Wood	1
601327	FL	COLUMBIA COUNTY	29925	-827109	Residential	Wood	1
302578	FL	COLUMBIA COUNTY	299248	-8271114	Residential	Wood	1
756585	FL	COLUMBIA COUNTY	2990334	-8263364	Residential	Wood	1
627591	FL	COLUMBIA COUNTY	29919149	-82639236	Residential	Wood	1
663563	FL	COLUMBIA COUNTY	299301	-827088	Residential	Masonry	3
108959	FL	COLUMBIA COUNTY	30041415	-8270641	Residential	Wood	3
951069	FL	COLUMBIA COUNTY	2992143	-8271411	Residential	Masonry	1
490641	FL	BAKER COUNTY	30265605	-8216215	Residential	Wood	3
443968	FL	BAKER COUNTY	3027125	-82160875	Residential	Wood	3
433688	FL	CLAY COUNTY	29980408	-81658165	Residential	Wood	1
168578	FL	CLAY COUNTY	300517	-8182975	Residential	Masonry	1
294375	FL	CLAY COUNTY	300517	-8182975	Residential	Wood	1
902110	FL	CLAY COUNTY	300517	-8182975	Residential	Wood	1
279816	FL	CLAY COUNTY	2998839	-8170777	Residential	Masonry	1
994565	FL	CLAY COUNTY	299826	-817238	Residential	Wood	4
930535	FL	CLAY COUNTY	299826	-817238	Residential	Wood	4
844642	FL	CLAY COUNTY	299826	-817238	Residential	Wood	4
292887	FL	CLAY COUNTY	299826	-817238	Residential	Wood	4
655128	FL	CLAY COUNTY	299826	-817238	Residential	Wood	4
164038	FL	CLAY COUNTY	299826	-817238	Residential	Wood	4
163057	FL	CLAY COUNTY	299826	-817238	Residential	Wood	4
327730	FL	CLAY COUNTY	299826	-817238	Residential	Wood	4
218187	FL	CLAY COUNTY	299826	-817238	Residential	Wood	4
697530	FL	CLAY COUNTY	299826	-817238	Residential	Wood	4
619053	FL	CLAY COUNTY	299826	-817238	Residential	Wood	4
431406	FL	CLAY COUNTY	299826	-817238	Residential	Wood	3
256801	FL	CLAY COUNTY	299826	-817238	Residential	Wood	4
571398	FL	CLAY COUNTY	299826	-817238	Residential	Wood	3
239669	FL	CLAY COUNTY	299826	-817238	Residential	Wood	3
530369	FL	CLAY COUNTY	299826	-817238	Residential	Wood	4
948187	FL	CLAY COUNTY	299826	-817238	Residential	Wood	3
571059	FL	CLAY COUNTY	299826	-817238	Residential	Wood	4
470539	FL	CLAY COUNTY	29993125	-8167742	Residential	Wood	3
791046	FL	CLAY COUNTY	29993125	-8167742	Residential	Wood	3
563971	FL	CLAY COUNTY	29993125	-8167742	Residential	Wood	3
823903	FL	CLAY COUNTY	29993125	-8167742	Residential	Wood	3
812504	FL	CLAY COUNTY	299826	-817238	Residential	Wood	4
597719	FL	CLAY COUNTY	29995916	-81689049	Residential	Wood	1
716513	FL	CLAY COUNTY	30004622	-81683899	Residential	Wood	3
378286	FL	CLAY COUNTY	299826	-817238	Residential	Wood	4
698982	FL	CLAY COUNTY	299826	-817238	Residential	Wood	4
624550	FL	CLAY COUNTY	299826	-817238	Residential	Wood	4
666076	FL	CLAY COUNTY	299826	-817238	Residential	Wood	4
474145	FL	CLAY COUNTY	299826	-817238	Residential	Wood	4
572929	FL	CLAY COUNTY	299826	-817238	Residential	Wood	4
640205	FL	CLAY COUNTY	299826	-817238	Residential	Wood	3
295930	FL	CLAY COUNTY	300156	-8170065	Residential	Wood	3
823004	FL	CLAY COUNTY	299826	-817238	Residential	Wood	4
230536	FL	CLAY COUNTY	30004385	-81683762	Residential	Wood	3
936142	FL	CLAY COUNTY	3000421	-81684	Residential	Wood	3
724639	FL	CLAY COUNTY	299826	-817238	Residential	Wood	4
119986	FL	CLAY COUNTY	299826	-817238	Residential	Wood	4
603370	FL	CLAY COUNTY	299826	-817238	Residential	Wood	4
532496	FL	CLAY COUNTY	299826	-817238	Residential	Wood	4
786954	FL	CLAY COUNTY	3000169	-8171087	Residential	Wood	4
416348	FL	CLAY COUNTY	299826	-817238	Residential	Wood	4
506364	FL	CLAY COUNTY	30006186	-81698914	Residential	Masonry	1
311994	FL	CLAY COUNTY	30006186	-81698914	Residential	Wood	1
807442	FL	CLAY COUNTY	30006186	-81698914	Residential	Wood	1
235695	FL	CLAY COUNTY	30006186	-81698914	Residential	Wood	1
481294	FL	CLAY COUNTY	30006186	-81698914	Residential	Wood	1
292670	FL	CLAY COUNTY	30006186	-81698914	Residential	Wood	1
127739	FL	CLAY COUNTY	30006186	-81698914	Residential	Wood	1
869056	FL	CLAY COUNTY	299994	-8171524	Residential	Wood	3
514471	FL	CLAY COUNTY	299826	-817238	Residential	Wood	3
903764	FL	CLAY COUNTY	2999534	-81684074	Residential	Wood	3
192068	FL	CLAY COUNTY	2998799	-8169477	Residential	Wood	3
109815	FL	CLAY COUNTY	3000593	-81698545	Residential	Wood	3
495339	FL	CLAY COUNTY	2998272	-81676795	Residential	Masonry	3
752123	FL	CLAY COUNTY	299826	-817238	Residential	Wood	4
412775	FL	CLAY COUNTY	3000228	-81699965	Residential	Wood	3
249958	FL	CLAY COUNTY	2996809	-8165459	Residential	Wood	3
754919	FL	CLAY COUNTY	29989515	-81687235	Residential	Wood	3
829637	FL	CLAY COUNTY	29989515	-81687235	Residential	Wood	3
931429	FL	CLAY COUNTY	29989515	-81687235	Residential	Wood	3
565451	FL	CLAY COUNTY	3000414	-81700315	Residential	Wood	3
722334	FL	CLAY COUNTY	3000421	-81684	Residential	Wood	3
630898	FL	CLAY COUNTY	299817	-8181295	Residential	Wood	3
166536	FL	CLAY COUNTY	299817	-8181295	Residential	Wood	3
469135	FL	CLAY COUNTY	2998782	-8169136	Residential	Masonry	1
678786	FL	CLAY COUNTY	30031706	-81708595	Residential	Masonry	1
284473	FL	CLAY COUNTY	29839308	-81661644	Residential	Masonry	3
499389	FL	CLAY COUNTY	29986181	-81695091	Residential	Masonry	1
541241	FL	CLAY COUNTY	2998	-8169609	Commercial	Reinforced Masonry	1
797586	FL	CLAY COUNTY	2999665	-8168111	Commercial	Reinforced Masonry	1
812823	FL	CLAY COUNTY	30026604	-8170697	Residential	Wood	1
598244	FL	CLAY COUNTY	29981771	-81675621	Residential	Masonry	3
788363	FL	CLAY COUNTY	29997179	-81736023	Residential	Wood	1
737787	FL	CLAY COUNTY	30005896	-81730293	Residential	Wood	1
445518	FL	CLAY COUNTY	29892822	-81670074	Residential	Wood	1
758347	FL	CLAY COUNTY	29983204	-81755379	Residential	Masonry	1
195133	FL	CLAY COUNTY	29983204	-81755379	Residential	Wood	1
991548	FL	CLAY COUNTY	2999319	-8168175	Residential	Masonry	1
696936	FL	CLAY COUNTY	3000093	-81679455	Residential	Wood	3
393176	FL	CLAY COUNTY	3000135	-81742455	Residential	Wood	3
626647	FL	CLAY COUNTY	3000135	-81742455	Residential	Wood	3
915781	FL	CLAY COUNTY	3000135	-81742455	Residential	Masonry	3
827852	FL	CLAY COUNTY	3000135	-81742455	Residential	Wood	3
800420	FL	CLAY COUNTY	29983204	-81755379	Residential	Wood	1
728346	FL	CLAY COUNTY	29983204	-81755379	Commercial	Reinforced Masonry	1
928642	FL	CLAY COUNTY	29983204	-81755379	Residential	Wood	1
442061	FL	CLAY COUNTY	29983204	-81755379	Residential	Wood	1
810826	FL	CLAY COUNTY	29983204	-81755379	Residential	Wood	1
336798	FL	CLAY COUNTY	29983204	-81755379	Residential	Wood	1
830917	FL	CLAY COUNTY	29983204	-81755379	Residential	Wood	1
984232	FL	CLAY COUNTY	2999146	-8167947	Residential	Masonry	1
203667	FL	CLAY COUNTY	30024078	-81714539	Residential	Wood	1
395084	FL	CLAY COUNTY	30024078	-81714539	Residential	Wood	1
869242	FL	CLAY COUNTY	30024033	-81714836	Residential	Wood	1
704537	FL	CLAY COUNTY	299826	-817238	Residential	Wood	4
692691	FL	CLAY COUNTY	2999501	-8169407	Residential	Wood	3
580758	FL	CLAY COUNTY	30046192	-81795082	Residential	Wood	1
515486	FL	CLAY COUNTY	30046192	-81795082	Residential	Wood	1
884079	FL	CLAY COUNTY	30046192	-81795082	Residential	Wood	1
491095	FL	CLAY COUNTY	299826	-817238	Residential	Masonry	4
579764	FL	CLAY COUNTY	299826	-817238	Residential	Wood	1
263177	FL	CLAY COUNTY	29992	-8168678	Residential	Wood	1
710739	FL	CLAY COUNTY	2999327	-81724515	Residential	Wood	3
156129	FL	CLAY COUNTY	29992	-8168678	Residential	Wood	1
178800	FL	BRADFORD COUNTY	29869762	-82202431	Residential	Wood	1
406073	FL	BRADFORD COUNTY	2986261	-82135475	Residential	Wood	3
450089	FL	BRADFORD COUNTY	29864408	-82135536	Residential	Wood	1
894206	FL	NASSAU COUNTY	30687055	-819198	Residential	Wood	1
472007	FL	NASSAU COUNTY	307595	-819576	Residential	Masonry	4
500287	FL	NASSAU COUNTY	3069844	-81908635	Residential	Masonry	4
365732	FL	NASSAU COUNTY	30690071	-81919342	Residential	Wood	3
365145	FL	NASSAU COUNTY	30690071	-81919342	Residential	Wood	3
237841	FL	NASSAU COUNTY	30690071	-81919342	Residential	Wood	3
497561	FL	NASSAU COUNTY	30692579	-81923798	Residential	Wood	1
245837	FL	NASSAU COUNTY	30692579	-81923798	Residential	Masonry	1
732075	FL	NASSAU COUNTY	30687847	-81928619	Residential	Wood	3
657625	FL	NASSAU COUNTY	30698156	-81917923	Commercial	Reinforced Masonry	1
790556	FL	NASSAU COUNTY	30692579	-81923798	Residential	Wood	1
207626	FL	NASSAU COUNTY	3068227	-82010965	Residential	Wood	3
902008	FL	NASSAU COUNTY	3068758	-8190805	Residential	Masonry	1
135936	FL	HAMILTON COUNTY	3051869	-8295187	Residential	Wood	3
997759	FL	HAMILTON COUNTY	3051869	-8295187	Residential	Wood	3
470224	FL	HAMILTON COUNTY	3051869	-8295187	Residential	Wood	3
367761	FL	HAMILTON COUNTY	30505239	-8295285	Residential	Wood	1
285586	FL	HAMILTON COUNTY	30505239	-8295285	Residential	Wood	1
122164	FL	HAMILTON COUNTY	30496	-829527	Residential	Wood	4
152913	FL	HAMILTON COUNTY	30465835	-83006185	Residential	Wood	3
655156	FL	HAMILTON COUNTY	30523375	-8295845	Residential	Wood	1
989201	FL	HAMILTON COUNTY	30523375	-8295845	Residential	Wood	1
207985	FL	HAMILTON COUNTY	3052085	-82950535	Residential	Wood	4
732449	FL	HAMILTON COUNTY	3051929	-8294598	Residential	Wood	1
665653	FL	HAMILTON COUNTY	30519608	-82954086	Residential	Wood	1
939634	FL	HAMILTON COUNTY	30496	-829527	Residential	Masonry	4
981796	FL	HAMILTON COUNTY	3052296	-82955515	Residential	Wood	4
